jobname,salary_min_BGP,salary_max_BGP,joblocation,Internship,education,experience,Average_salary,company_style,company_scale,job_industry,job_classification,salary_grade,,,,,,,
JAVA工程师（YD15zw）(J11773),8181,16363,Zhengzhou,No,Bachelor,1 year,12272,Listed,5000-10000,Computer services,Internet Software Development Engineer,medium,,,,,,,
JAVA中级开发工程师,10909,13636,Wuhan,No,Bachelor,3 years,12272,Private-owned,500-1000,Electric,Hardware engineer,medium,,,,,,,
Java开发实习生,2727,5454,Zhengzhou,Yes,Bachelor,Fresh graduate,4090,Private-owned,50-150,E-commerce,Software engineer,low,,,,,,,
B2B产品运维开发工程师(Java方向),8181,10909,Wuhan,No,Bachelor,1 year,9545,Foreign (except EU & US),150-500,Computer services,Technical support/maintenance engineer,low,,,,,,,
Java开发工程师,8181,10909,Xi an,No,Bachelor,2 years,9545,Private-owned,150-500,Computer services,Software engineer,low,,,,,,,
Java开发,16363,20454,Wuhan,No,Bachelor,5 years,18408,Private-owned,500-1000,Medical,Software engineer,medium,,,,,,,
Java高级开发工程师,16363,24545,Changsha,No,Bachelor,5 years,20454,Private-owned,150-500,E-commerce,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,9545,12272,Wuhan,No,Bachelor,3 years,10908,Private-owned,500-1000,Electronic technology,Software engineer,low,,,,,,,
中高级java开发工程师,8181,16363,Changsha,No,College degree,5 years,12272,Private-owned,1000-5000,Diversified Business Group Companies,Senior software engineer,medium,,,,,,,
Java中级开发工程师,10909,20454,Zhengzhou,No,Bachelor,3 years,15681,Private-owned,50-150,Finance,Senior software engineer,medium,,,,,,,
Java高级开发工程师,10909,16363,Wuhan,No,College degree,3 years,13636,Private-owned,50-150,Fast moving consumer goods,Senior Internet Software Development Engineer,medium,,,,,,,
Java高级开发工程师,16363,34090,Changsha,No,Bachelor,3 years,25226,Private-owned,50-150,Medical,Senior software engineer,high,,,,,,,
中高级Java开发工程师,10909,16363,Zhengzhou,No,Bachelor,3 years,13636,Private-owned,500-1000,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,17727,Xi an,No,Bachelor,3 years,12954,Joint venture,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java软件开发工程师,8181,16363,Xi an,No,College degree,3 years,12272,Private-owned,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
中高级Java开发工程师,9545,16363,Wuhan,No,College degree,2 years,12954,State-owned,1000-5000,Professional service,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,13636,34090,Wuhan,No,Bachelor,2 years,23863,Private-owned,50-150,Computer Software/Hardware,Internet Software Development Engineer,medium,,,,,,,
Java中级开发工程师,8181,10909,Zhengzhou,No,College degree,2 years,9545,Private-owned,50-150,Computer Software/Hardware,Software engineer,low,,,,,,,
Java高级开发工程师,13636,27272,Xi an,No,Not Required,5 years,20454,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
对日JAVA软件工程师,13636,20454,Wuhan,No,College degree,3 years,17045,Foreign(EU & US),500-1000,Computer Software/Hardware,Software engineer,medium,,,,,,,
高级Java工程师,13636,20454,Xi an,No,Bachelor,5 years,17045,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
JAVA开发系统工程师,20454,27272,Xi an,No,Bachelor,3 years,23863,Listed,500-1000,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java开发工程师,9545,13636,Changsha,No,College degree,3 years,11590,Private-owned,150-500,Agriculture,Senior software engineer,low,,,,,,,
Java高级工程师,13636,27272,Changsha,No,Bachelor,5 years,20454,Private-owned,500-1000,Finance,Senior software engineer,medium,,,,,,,
Java高级开发工程师（武汉）,20454,27272,Wuhan,No,Bachelor,5 years,23863,Private-owned,1000-5000,Professional service,Senior software engineer,medium,,,,,,,
高级Java开发工程师(J10468),20454,34090,Xi an,No,Bachelor,5 years,27272,Private-owned,1000-5000,Electronic technology,Senior Internet Software Development Engineer,high,,,,,,,
Java开发工程师,16363,30000,Changsha,No,Bachelor,3 years,23181,Private-owned,150-500,Computer services,Internet Software Development Engineer,medium,,,,,,,
Java高级开发工程师,17727,27272,Wuhan,No,Bachelor,8 years,22499,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java软件讲师,8181,13636,Changsha,No,Bachelor,2 years,10908,Private-owned,50-150,Education,Lecturer/Teacher,low,,,,,,,
Java高级开发工程师,13636,20454,Changsha,No,Bachelor,3 years,17045,Listed,5000-10000,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
JAVA架构师/技术经理,20454,40909,Zhengzhou,No,Bachelor,3 years,30681,Private-owned,Less than 50,E-commerce,Java Developer,high,,,,,,,
Java高级开发工程师,10909,16363,Wuhan,No,College degree,2 years,13636,Private-owned,50-150,Communications/Telecommunications/Network equipment,Database Engineer / Administrator,medium,,,,,,,
Java开发工程师,9545,19090,Zhengzhou,No,Bachelor,3 years,14317,Private-owned,1000-5000,Computer services,Software engineer,medium,,,,,,,
高级JAVA工程师,20454,34090,Wuhan,No,College degree,5 years,27272,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Senior software engineer,high,,,,,,,
Java开发工程师,13636,19090,Wuhan,No,Bachelor,3 years,16363,Private-owned,50-150,Catering,Internet Software Development Engineer,medium,,,,,,,
Java高级/资深开发工程师,12272,19090,Changsha,No,Bachelor,5 years,15681,Private-owned,1000-5000,Biological Engineering,Senior software engineer,medium,,,,,,,
Java开发工程师,6818,20454,Changsha,No,Bachelor,2 years,13636,Private-owned,50-150,Computer services,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,8181,10909,Xi an,No,Bachelor,3 years,9545,Private-owned,Less than 50,Environmental protection,Software engineer,low,,,,,,,
Java高级软件开发工程师,13636,20454,Xi an,No,Bachelor,3 years,17045,Listed,Over 10k,Communications/Telecommunications/Network equipment,Java Developer,medium,,,,,,,
JAVA后端主管,10909,16363,Changsha,No,College degree,5 years,13636,Private-owned,50-150,E-commerce,Senior Internet Software Development Engineer,medium,,,,,,,
Java开发实习生,4090,6136,Xi an,Yes,College degree,2 years,5113,Foreign (except EU & US),500-1000,Computer Software/Hardware,Internet Software Development Engineer,low,,,,,,,
JAVA高级开发工程师,20454,27272,Wuhan,No,College degree,3 years,23863,Private-owned,500-1000,Finance,Senior software engineer,medium,,,,,,,
Java开发工程师,16363,27272,Wuhan,No,College degree,8 years,21817,Private-owned,150-500,Professional service,Software engineer,medium,,,,,,,
Java开发工程师,10909,19090,Changsha,No,Bachelor,3 years,14999,Private-owned,50-150,E-commerce,Internet Software Development Engineer,medium,,,,,,,
Java开发实习生,4090,5454,Wuhan,Yes,Bachelor,Fresh graduate,4772,Private-owned,Less than 50,Engineering,UI Designer,low,,,,,,,
Java开发工程师,8181,13636,Zhengzhou,No,Bachelor,2 years,10908,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,low,,,,,,,
java开发工程师（长沙）,6818,13636,Changsha,No,Bachelor,1 year,10227,Private-owned,500-1000,Electronic technology,Software engineer,low,,,,,,,
高级JAVA开发工程师,16363,24545,Changsha,No,College degree,5 years,20454,Listed,500-1000,Trading,Senior software engineer,medium,,,,,,,
Java软件工程师,11363,22727,Changsha,No,Bachelor,2 years,17045,Private-owned,500-1000,Industrial Automation,Software engineer,medium,,,,,,,
Java开发工程师,5454,10909,Xiangyang,No,College degree,3 years,8181,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Software engineer,low,,,,,,,
Java高级开发工程师,13636,20454,Wuhan,No,College degree,5 years,17045,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,6818,13636,Shijiazhuang,No,College degree,1 year,10227,Private-owned,50-150,Engineering,Software engineer,low,,,,,,,
Java后台开发工程师,8181,10909,Xi an,No,Bachelor,1 year,9545,Private-owned,150-500,Electric,Internet Software Development Engineer,low,,,,,,,
Java开发实习生,2727,4090,Wuhan,Yes,Bachelor,Fresh graduate,3408,Private-owned,150-500,Computer services,Software engineer,low,,,,,,,
Java开发工程师 (职位编号：001),10909,13636,Xi an,No,Bachelor,3 years,12272,Foreign (except EU & US),Less than 50,Computer services,Senior software engineer,medium,,,,,,,
Java开发工程师,6818,13636,Wuhan,No,Bachelor,1 year,10227,Private-owned,500-1000,Communications/Telecommunications/Network equipment,Software engineer,low,,,,,,,
Java开发工程师,6136,8181,Changsha,No,Bachelor,2 years,7158,Private-owned,150-500,Education,Software engineer,low,,,,,,,
Java前端开发工程师-武汉,9545,20454,Wuhan,No,Bachelor,1 year,14999,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java服务器开发工程师,20454,34090,Wuhan,No,Bachelor,3 years,27272,Private-owned,150-500,Gaming,Internet Software Development Engineer,high,,,,,,,
Java高级开发工程师,13636,20454,Wuhan,No,Bachelor,3 years,17045,Private-owned,Less than 50,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
Java开发工程师,10909,12272,Changsha,No,Bachelor,2 years,11590,Private-owned,150-500,Communications/Telecommunications/Network equipment,Software engineer,low,,,,,,,
Java开发工程师,13636,27272,Xi an,No,College degree,5 years,20454,Private-owned,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java高级开发工程师,16363,24545,Wuhan,No,Bachelor,5 years,20454,Private-owned,50-150,E-commerce,Internet Software Development Engineer,medium,,,,,,,
软件设计工程师（JAVA）,14772,22727,Wuhan,No,Bachelor,3 years,18749,Joint venture,1000-5000,Computer services,Senior software engineer,medium,,,,,,,
高级Java开发工程师,20454,27272,Xi an,No,College degree,5 years,23863,Foreign(EU & US),1000-5000,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
java开发工程师,6818,17727,Third-tier city,No,Bachelor,Not Required,12272,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
JAVA高级软件工程师,13636,20454,Changsha,No,Bachelor,5 years,17045,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
高级JAVA工程师-Java Engineer,34090,40909,Xi an,No,Bachelor,1 year,37499,Foreign (except EU & US),5000-10000,Finance,Senior software engineer,high,,,,,,,
高级Java开发工程师,13636,27272,Wuhan,No,Bachelor,5 years,20454,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java讲师,13636,20454,Changsha,No,Bachelor,2 years,17045,Joint venture,50-150,Education,Software engineer,medium,,,,,,,
java开发工程师（北京）,20454,24545,Beijing,No,Bachelor,5 years,22499,Private-owned,150-500,E-commerce,Senior software engineer,medium,,,,,,,
JAVA软件开发工程师,9545,13636,Xi an,No,Bachelor,2 years,11590,Joint venture,1000-5000,E-commerce,Software engineer,low,,,,,,,
java初级工程师 (职位编号：1005),6136,8181,Wuhan,No,Bachelor,1 year,7158,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,low,,,,,,,
Java开发工程师,4545,5681,Zhengzhou,No,College degree,2 years,5113,Private-owned,50-150,Computer services,Senior software engineer,low,,,,,,,
Java开发工程师,5454,13636,Xi an,No,Not Required,3 years,9545,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,low,,,,,,,
Java开发工程师,5454,10909,Changsha,No,Not Required,Not Required,8181,Private-owned,50-150,Education,Technical support/maintenance engineer,low,,,,,,,
Java开发工程师,10909,13636,Xi an,No,Bachelor,1 year,12272,Private-owned,1000-5000,Communications/Telecommunications/Network equipment,Java Developer,medium,,,,,,,
java前端助理,8181,10909,Wuhan,No,Bachelor,Fresh graduate,9545,Private-owned,50-150,Electronic technology,Web front-end development,low,,,,,,,
JAVA开发工程师,10909,16363,Wuhan,No,Bachelor,2 years,13636,Private-owned,1000-5000,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
Java开发工程师,6136,8181,Changsha,No,Bachelor,2 years,7158,Private-owned,50-150,Computer services,Senior software engineer,low,,,,,,,
Java高级开发工程师,13636,20454,Xi an,No,Bachelor,5 years,17045,Private-owned,Less than 50,Electronic technology,Senior software engineer,medium,,,,,,,
Java高级开发工程师,10909,16363,Xi an,No,College degree,3 years,13636,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java高级开发工程师（西安）,13636,20454,Xi an,No,Bachelor,3 years,17045,Private-owned,50-150,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java工程师 14薪+双休+五险一金+地铁直达,9545,17727,Changsha,No,Bachelor,3 years,13636,Private-owned,150-500,E-commerce,Software engineer,medium,,,,,,,
Java高级开发工程师,12272,21818,Xi an,No,Bachelor,5 years,17045,Listed,1000-5000,Advertising,Software engineer,medium,,,,,,,
Java讲师,10909,13636,Wuhan,No,College degree,2 years,12272,Listed,Over 10k,Education,Project manager,medium,,,,,,,
高级JAVA工程师,20454,40909,Xi an,No,Bachelor,5 years,30681,Private-owned,Less than 50,E-commerce,Java Developer,high,,,,,,,
java 中级工程师,6818,8863,Wuhan,No,Bachelor,2 years,7840,Institution,50-150,Engineering,Multimedia/Game Development Engineer,low,,,,,,,
高级JAVA开发工程师,10909,13636,Changsha,No,Bachelor,5 years,12272,Private-owned,50-150,Computer services,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,15000,Xi an,No,Bachelor,3 years,12954,State-owned,50-150,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
Java开发主管,20454,27272,Xi an,No,College degree,8 years,23863,Private-owned,500-1000,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,4090,6136,Xi an,No,College degree,1 year,5113,Private-owned,150-500,Publishing,Software engineer,low,,,,,,,
4年以上Java高级开发工程师,13636,20454,Wuhan,No,College degree,3 years,17045,Joint venture,50-150,E-commerce,Project Manager,medium,,,,,,,
JAVA程序开发工程师(上班地点：岳麓区）,20454,27272,Changsha,No,Not Required,2 years,23863,Private-owned,50-150,Gaming,Multimedia/Game Development Engineer,medium,,,,,,,
Java中级开发工程师,5454,10909,Changsha,No,Bachelor,2 years,8181,Private-owned,150-500,Computer Software/Hardware,Software engineer,low,,,,,,,
Java开发工程师,13636,20454,Wuhan,No,Bachelor,3 years,17045,Private-owned,50-150,Computer Software/Hardware,Java Developer,medium,,,,,,,
java微服务高级研发工程师,10909,20454,Changsha,No,College degree,3 years,15681,Listed,Over 10k,Electronic technology,Other,medium,,,,,,,
Java开发实习生,6136,9545,Xi an,Yes,College degree,Fresh graduate,7840,Private-owned,50-150,Communications/Telecommunications/Network equipment,Internet Software Development Engineer,low,,,,,,,
Java高级开发工程师,11363,17045,Xi an,No,Bachelor,5 years,14204,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Wuhan,No,Bachelor,1 year,9545,New,50-150,Communications/Telecommunications/Network equipment,Software engineer,low,,,,,,,
Java开发工程师,10909,21818,Xi an,No,Bachelor,3 years,16363,Private-owned,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
JAVA系统架构师,10909,13636,Xi an,No,Bachelor,3 years,12272,Private-owned,Less than 50,Wholesale and retail,Communications Technology Engineer,medium,,,,,,,
Java架构师,20454,27272,Wuhan,No,Bachelor,5 years,23863,Private-owned,Less than 50,Electronic technology,Senior software engineer,medium,,,,,,,
JAVA工程师,10909,13636,Changsha,No,College degree,3 years,12272,Private-owned,50-150,Computer services,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,10909,16363,Wuhan,No,College degree,3 years,13636,Private-owned,150-500,Medical,Internet Software Development Engineer,medium,,,,,,,
高级开发工程师 （Java）,17045,28409,Changsha,No,Bachelor,3 years,22727,State-owned,50-150,Finance,Senior software engineer,medium,,,,,,,
JAVA软件工程师,8181,10909,Third-tier city,No,College degree,Not Required,9545,Private-owned,Less than 50,Computer Software/Hardware,ERP development,low,,,,,,,
Java对日开发工程师/PG,6818,10909,Wuhan,No,College degree,3 years,8863,Foreign (except EU & US),50-150,Outsourcing,Software engineer,low,,,,,,,
Java开发经理,10909,17727,Wuhan,No,Not Required,5 years,14318,Private-owned,Less than 50,Computer Software/Hardware,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师（武汉）,8181,16363,Wuhan,No,Bachelor,3 years,12272,State-owned,150-500,Chemical,Internet Software Development Engineer,medium,,,,,,,
Java项目经理,13636,20454,Xi an,No,Master,4 years,17045,New,Less than 50,Computer Software/Hardware,Project manager,medium,,,,,,,
java软件工程师,8181,10909,Xi an,No,Bachelor,Not Required,9545,Private-owned,Less than 50,Electronic technology,Software engineer,low,,,,,,,
Java开发实习生,2727,4090,Hangzhou,Yes,College degree,Fresh graduate,3408,Private-owned,50-150,Academic research,Software engineer,low,,,,,,,
RD2-Java开发工程师（武汉）,10909,13636,Wuhan,No,Bachelor,3 years,12272,Listed,500-1000,E-commerce,Java Developer,medium,,,,,,,
高级JAVA工程师,8181,20454,Shijiazhuang,No,Bachelor,3 years,14317,Private-owned,150-500,Environmental protection,Senior software engineer,medium,,,,,,,
高学历人才储备（JAVA开发经理）,10909,20454,Wuhan,No,Bachelor,5 years,15681,Private-owned,Over 10k,Automobile Accessories,Java Developer,medium,,,,,,,
Java开发工程师,8181,13636,Changsha,No,College degree,2 years,10908,Joint venture,150-500,Computer Software/Hardware,Software engineer,low,,,,,,,
软件工程师（Java）,16363,27272,Wuhan,No,Bachelor,1 year,21817,Listed,1000-5000,Medical,Software engineer,medium,,,,,,,
Java开发组长,17727,20454,Wuhan,No,College degree,5 years,19090,New,150-500,Computer services,Internet Software Development Engineer,medium,,,,,,,
JAVA技术经理,16363,27272,Wuhan,No,Bachelor,5 years,21817,Listed,1000-5000,Communications/Telecommunications/Network equipment,Project manager,medium,,,,,,,
Java高级开发工程师,10909,13636,Zhengzhou,No,College degree,5 years,12272,Private-owned,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java高级开发工程师,13636,20454,Changsha,No,College degree,5 years,17045,Private-owned,150-500,E-commerce,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,13636,Changsha,No,Bachelor,3 years,12272,State-owned,50-150,E-commerce,Java Developer,medium,,,,,,,
Java高级开发工程师,20454,30000,Changsha,No,Bachelor,5 years,25227,Private-owned,50-150,Real estate,Senior software engineer,high,,,,,,,
Java后端工程师,10909,20454,Third-tier city,No,College degree,3 years,15681,Private-owned,50-150,Diversified Business Group Companies,Technical support/maintenance engineer,medium,,,,,,,
Java高级研发工程师,17045,22727,Wuhan,No,Bachelor,3 years,19886,Private-owned,Less than 50,Marketing,Senior software engineer,medium,,,,,,,
Java开发工程师,13636,20454,Changsha,No,Bachelor,2 years,17045,Private-owned,Less than 50,E-commerce,Software engineer,medium,,,,,,,
Java中级开发工程师,6136,8181,Changsha,No,College degree,2 years,7158,Private-owned,50-150,Engineering,Software engineer,low,,,,,,,
Java后端开发工程师,13636,17727,Xi an,No,College degree,5 years,15681,Joint venture,50-150,Medical,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,13636,Wuhan,No,Bachelor,2 years,12272,Private-owned,50-150,Chemical,Software engineer,medium,,,,,,,
高级JAVA软件开发工程师,17727,24545,Wuhan,No,College degree,3 years,21136,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
JAVA主管工程师（山河智能）,10909,20454,Changsha,No,Bachelor,3 years,15681,Private-owned,50-150,Aviation,Senior software engineer,medium,,,,,,,
JAVA研发工程师 (职位编号：03),8181,16363,Wuhan,No,Bachelor,3 years,12272,Private-owned,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
JAVA开发工程师,22727,34090,Xi an,No,Bachelor,2 years,28408,Private-owned,50-150,Electronic technology,Senior software engineer,high,,,,,,,
Java高级开发工程师,13636,20454,Xi an,No,Not Required,3 years,17045,Private-owned,150-500,E-commerce,Senior software engineer,medium,,,,,,,
Java开发工程师（初级）,6136,10909,Wuhan,No,Bachelor,Not Required,8522,Private-owned,1000-5000,Computer Software/Hardware,Internet Software Development Engineer,low,,,,,,,
Java高级开发工程师,13636,16363,Changsha,No,Not Required,5 years,14999,Private-owned,50-150,Industrial Automation,Senior software engineer,medium,,,,,,,
Java开发工程师,10909,20454,Wuhan,No,College degree,2 years,15681,Private-owned,50-150,Gaming,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,13636,27272,Wuhan,No,Bachelor,2 years,20454,Listed,150-500,Electronic technology,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,8181,16363,Zhengzhou,No,College degree,3 years,12272,Private-owned,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
Java开发工程师,8181,16363,Changsha,No,College degree,3 years,12272,Private-owned,50-150,Education,Internet Software Development Engineer,medium,,,,,,,
JAVA工程师,10909,13636,Third-tier city,No,Bachelor,Not Required,12272,Private-owned,500-1000,Biological Engineering,Internet Software Development Engineer,medium,,,,,,,
Java开发工程师,10909,17727,Changsha,No,Bachelor,3 years,14318,Private-owned,50-150,Computer Software/Hardware,Software engineer,medium,,,,,,,
JAVA开发工程师 (职位编号：00006),15000,15000,Guangzhou,No,Master,1 year,15000,Private-owned,Less than 50,Education,Lecturer/Teacher,medium,,,,,,,
JAVA系统架构设计师,27272,40909,Shanghai,No,Bachelor,5 years,34090,Joint venture,500-1000,Computer Software/Hardware,System architect,high,,,,,,,
Java开发工程师,8181,10909,Wuhan,No,Bachelor,Fresh graduate,9545,Private-owned,150-500,Computer services,Senior software engineer,low,,,,,,,
Java开发工程师,13636,24545,Wuhan,No,Bachelor,3 years,19090,Private-owned,50-150,Computer services,Senior software engineer,medium,,,,,,,
JAVA讲师（训练营 体验课）,10909,13636,Wuhan,No,Bachelor,3 years,12272,Private-owned,150-500,Education,Lecturer/Teacher,medium,,,,,,,
Java开发工程师,4090,6818,Third-tier city,No,Bachelor,1 year,5454,Private-owned,Less than 50,Computer Software/Hardware,Software engineer,low,,,,,,,
Java高级开发工程师,10909,13636,Wuhan,No,College degree,3 years,12272,Joint venture,5000-10000,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java高级开发工程师,10909,20454,Wuhan,No,Bachelor,3 years,15681,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
java高级软件工程师,13636,20454,Third-tier city,No,Bachelor,5 years,17045,Private-owned,50-150,Computer services,Senior software engineer,medium,,,,,,,
Java高级开发工程师,13636,20454,Changsha,No,College degree,3 years,17045,Private-owned,150-500,Electronic technology,Java Developer,medium,,,,,,,
Java开发工程师,6818,16363,Changsha,No,College degree,2 years,11590,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,low,,,,,,,
Java开发工程师,6818,10909,Xi an,No,Bachelor,2 years,8863,Listed,1000-5000,Computer services,Senior software engineer,low,,,,,,,
高级软件程师（Java）,6818,13636,Zhengzhou,No,Bachelor,3 years,10227,Listed,1000-5000,Biological Engineering,Software engineer,low,,,,,,,
Java开发工程师,10909,13636,Wuhan,No,College degree,3 years,12272,Listed,150-500,Computer Software/Hardware,Software engineer,medium,,,,,,,
JAVA高级开发工程师,16363,20454,Xi an,No,Bachelor,3 years,18408,Listed,150-500,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
JAVA高级软件开发工程师,10909,27272,Zhengzhou,No,College degree,5 years,19090,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
Java软件工程师,13636,20454,Wuhan,No,College degree,5 years,17045,Private-owned,50-150,Engineering,Software engineer,medium,,,,,,,
Java 微服务开发工程师,10909,24545,Wuhan,No,Bachelor,2 years,17727,Joint venture,50-150,E-commerce,Internet Software Development Engineer,medium,,,,,,,
Java高级开发工程师,13636,24545,Xi an,No,College degree,3 years,19090,Private-owned,Less than 50,Computer services,Project manager,medium,,,,,,,
Java开发工程师,13636,20454,Changsha,No,Bachelor,5 years,17045,Listed,150-500,E-commerce,Internet Software Development Engineer,medium,,,,,,,
java后端开发,9545,19090,Zhengzhou,No,College degree,2 years,14317,Private-owned,Less than 50,Entertainment,Network Engineer,medium,,,,,,,
JAVA开发工程师,9545,16363,Changsha,No,College degree,2 years,12954,Private-owned,150-500,E-commerce,Software engineer,medium,,,,,,,
JAVA高级工程师,6818,20454,Xi an,No,Bachelor,2 years,13636,Private-owned,50-150,Computer Software/Hardware,Java Developer,medium,,,,,,,
Java中级开发工程师,10909,13636,Xi an,No,Bachelor,5 years,12272,Private-owned,50-150,Computer services,Software engineer,medium,,,,,,,
京东新通路高级Java研发工程师,17727,40909,Wuhan,No,Bachelor,3 years,29318,Foreign(EU & US),Over 10k,E-commerce,Java Developer,high,,,,,,,
中高级Java开发,9545,13636,Zhengzhou,No,College degree,3 years,11590,Private-owned,1000-5000,Communications/Telecommunications/Network equipment,Java Developer,low,,,,,,,
Java开发工程师,9545,12272,Wuhan,No,Bachelor,2 years,10908,Foreign(EU & US),150-500,Communications/Telecommunications/Network equipment,Communications Technology Engineer,low,,,,,,,
Java开发工程师,5454,9545,Zhengzhou,No,College degree,1 year,7499,Private-owned,50-150,Computer services,Software engineer,low,,,,,,,
java开发工程师,10909,17727,Xi an,No,Bachelor,3 years,14318,State-owned,500-1000,Aviation,Software engineer,medium,,,,,,,
Java开发工程师,10909,13636,Wuhan,No,College degree,3 years,12272,Private-owned,50-150,Communications/Telecommunications/Network equipment,Software engineer,medium,,,,,,,
高级Java开发工程师,27272,34090,Wuhan,No,Bachelor,5 years,30681,Private-owned,150-500,Fast moving consumer goods,Senior software engineer,high,,,,,,,
Java高级开发工程师,13636,24545,Wuhan,No,Bachelor,3 years,19090,Private-owned,Less than 50,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java开发工程师,9545,13636,Wuhan,No,Bachelor,2 years,11590,Listed,1000-5000,Biological Engineering,Senior software engineer,low,,,,,,,
Java软件开发工程师,10909,20454,Wuhan,No,College degree,3 years,15681,Listed,50-150,Communications/Telecommunications/Network equipment,Senior software engineer,medium,,,,,,,
Java开发工程师,12272,16363,Wuhan,No,Bachelor,3 years,14317,State-owned,50-150,Computer services,Java Developer,medium,,,,,,,
Java开发经理,23181,34090,Wuhan,No,Bachelor,8 years,28635,Private-owned,150-500,Computer services,Senior software engineer,high,,,,,,,
Java高级开发工程师,10909,19090,Changsha,No,Not Required,5 years,14999,Private-owned,50-150,E-commerce,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Zhengzhou,No,College degree,3 years,9545,Private-owned,50-150,Computer services,Software engineer,low,,,,,,,
java高级工程师,10909,13636,Third-tier city,No,College degree,5 years,12272,Private-owned,50-150,Computer Software/Hardware,Senior software engineer,medium,,,,,,,
Java高级开发工程师,13636,20454,Changsha,No,Bachelor,5 years,17045,Private-owned,50-150,Public utilities,Senior software engineer,medium,,,,,,,
Java开发（中级、高级）,9545,15000,Shijiazhuang,No,Bachelor,3 years,12272,Private-owned,150-500,Electric,Senior software engineer,medium,,,,,,,
JAVA高级工程师,13636,20454,Xi an,No,Bachelor,5 years,17045,Joint venture,150-500,Computer services,Senior software engineer,medium,,,,,,,
中级JAVA开发工程师,9545,12272,Changsha,No,College degree,3 years,10908,Private-owned,50-150,E-commerce,Software engineer,low,,,,,,,
Java开发工程师,8181,13636,Xi an,No,Bachelor,3 years,10908,Private-owned,150-500,Computer Software/Hardware,Senior software engineer,low,,,,,,,
JAVA软件工程师,7954,17045,Third-tier city,No,Bachelor,2 years,12499,State-owned,50-150,Computer services,Senior software engineer,medium,,,,,,,
Java软件开发工程师,8181,10909,Wuhan,No,Bachelor,2 years,9545,Private-owned,Less than 50,Computer services,Software engineer,low,,,,,,,
JAVA软件工程师,10909,13636,Xi an,No,Bachelor,3 years,12272,Private-owned,50-150,Electronic technology,Senior software engineer,medium,,,,,,,
Java开发工程师,8181,10909,Xi an,No,Bachelor,2 years,9545,Private-owned,Less than 50,Computer services,Senior software engineer,low,,,,,,,
